2026-02-25 18:58:58 | DEBUG | __main__:45 - Running in mode: debug
2026-02-25 18:59:14 | DEBUG | __main__:45 - Running in mode: {a}
2026-02-25 18:59:20 | DEBUG | __main__:45 - Running in mode: 10
2026-02-25 19:01:50 | DEBUG | __main__:16 - Running in mode: 10
2026-02-25 19:09:15 | DEBUG | __main__:18 - Running in mode: 10
2026-02-25 19:09:46 | DEBUG | __main__:18 - Running in mode: 10
2026-02-25 19:09:48 | DEBUG | __main__:18 - Running in mode: 10
2026-02-25 19:10:10 | DEBUG | __main__:18 - Running in mode: 10
2026-02-25 19:10:19 | DEBUG | __main__:18 - Running in mode: 10
2026-02-25 19:12:05 | DEBUG | __main__:18 - Running in mode: 10
2026-02-25 19:12:19 | DEBUG | __main__:18 - Running in mode: 10
2026-03-02 19:21:25 | DEBUG | __main__:18 - Running in mode: 10
2026-03-02 19:29:25 | DEBUG | trainer:7 - In the training function
2026-03-02 19:29:31 | DEBUG | trainer:7 - In the training function
2026-03-02 19:29:33 | DEBUG | trainer:7 - In the training function
2026-03-02 19:30:03 | DEBUG | trainer:8 - In the training function
[golden-quagga]2026-03-02 19:34:32 | DEBUG | trainer:8 - In the training function
[good-weevil] 2026-03-02 19:34:39 | DEBUG | trainer:8 - In the training function
[warm-whale] 2026-03-02 20:11:36 | DEBUG | trainer:8 - In the training function
[quiet-tahr] 2026-03-02 20:13:05 | INFO | __main__:21 - Starting training with run_id: <red>quiet-tahr</red>
[amazed-tuna] 2026-03-02 20:13:21 | INFO | __main__:21 - Starting training with run_id: <red>amazed-tuna</red>
[amazed-tuna] 2026-03-02 20:13:21 | DEBUG | trainer:8 - In the training function
[saving-shiner] 2026-03-02 20:18:00 | INFO | __main__:21 - Starting training with run_id: <red>saving-shiner</red>
[saving-shiner] 2026-03-02 20:18:00 | DEBUG | trainer:8 - In the training function
[fancy-lark] 2026-03-02 20:18:52 | INFO | __main__:21 - Starting training with run_id: <cyan>fancy-lark</cyan>
[fancy-lark] 2026-03-02 20:18:52 | DEBUG | trainer:8 - In the training function
[next-weasel] 2026-03-02 20:19:49 | INFO | __main__:21 - Starting training with run_id: <red>a</red>
[next-weasel] 2026-03-02 20:19:49 | DEBUG | trainer:8 - In the training function
[tough-minnow] 2026-03-02 20:20:39 | INFO | __main__:21 - Starting training with run_id: tough-minnow
[tough-minnow] 2026-03-02 20:20:39 | DEBUG | trainer:8 - In the training function
[living-ox] 2026-03-02 20:23:04 | INFO | __main__:21 - Starting training with run_id: living-ox
[living-ox] 2026-03-02 20:23:04 | DEBUG | trainer:8 - In the training function
[sacred-dog] 2026-03-02 20:23:18 | INFO | __main__:21 - Starting training with run_id: sacred-dog
[sacred-dog] 2026-03-02 20:23:18 | DEBUG | trainer:8 - In the training function
[mutual-stud] 2026-03-02 20:24:33 | INFO | __main__:22 - Starting training with run_id: mutual-stud
[mutual-stud] 2026-03-02 20:24:33 | DEBUG | trainer:8 - In the training function
[great-caiman] 2026-03-02 20:24:41 | INFO | __main__:22 - Starting training with run_id: great-caiman
[great-caiman] 2026-03-02 20:24:41 | DEBUG | trainer:8 - In the training function
[ruling-chimp] 2026-03-02 20:24:54 | INFO | __main__:21 - Starting training with run_id: ruling-chimp
[ruling-chimp] 2026-03-02 20:24:54 | DEBUG | trainer:8 - In the training function
[boss-ape] 2026-03-02 20:26:06 | INFO | __main__:21 - Starting training with run_id: boss-ape
[boss-ape] 2026-03-02 20:26:06 | DEBUG | trainer:8 - In the training function
[grand-hare] 2026-03-02 20:26:15 | INFO | __main__:21 - Starting training with run_id: grand-hare
[grand-hare] 2026-03-02 20:26:15 | DEBUG | trainer:8 - In the training function
[valued-llama] 2026-03-02 20:26:21 | INFO | __main__:21 - Starting training with run_id: valued-llama
[main-hawk] 2026-03-03 10:18:32 | INFO | __main__:22 - Starting training with run_id: main-hawk
[on-moth] 2026-03-03 10:19:55 | INFO | __main__:22 - Starting training with run_id: on-moth
[brief-lark] 2026-03-03 10:20:04 | INFO | __main__:22 - Starting training with run_id: brief-lark
[brief-lark] 2026-03-03 10:20:04 | DEBUG | trainer:8 - In the training function
[active-cattle] 2026-03-03 10:23:26 | INFO | __main__:22 - Starting training with run_id: active-cattle
[known-owl] 2026-03-03 10:23:29 | INFO | __main__:22 - Starting training with run_id: known-owl
[known-owl] 2026-03-03 10:23:29 | DEBUG | trainer:8 - In the training function
[ace-turtle] 2026-03-03 10:43:33 | INFO | __main__:27 - Starting training with run_id: ace-turtle
[ace-turtle] 2026-03-03 10:43:33 | DEBUG | trainer:10 - In the training function
[live-pig] 2026-03-03 10:44:23 | INFO | __main__:27 - Starting training with run_id: live-pig
[live-pig] 2026-03-03 10:44:23 | DEBUG | trainer:10 - In the training function
[warm-husky] 2026-03-03 10:46:07 | INFO | __main__:27 - Starting training with run_id: warm-husky
[warm-husky] 2026-03-03 10:46:07 | DEBUG | trainer:10 - In the training function
[rare-marlin] 2026-03-03 10:47:35 | INFO | __main__:27 - Starting training with run_id: rare-marlin
[master-fly] 2026-03-03 10:51:44 | INFO | __main__:27 - Starting training with run_id: master-fly
[master-fly] 2026-03-03 10:51:44 | DEBUG | trainer:10 - In the training function
[clean-bull] 2026-03-03 10:51:49 | INFO | __main__:27 - Starting training with run_id: clean-bull
[upward-elk] 2026-03-03 10:53:10 | INFO | __main__:27 - Starting training with run_id: upward-elk
[sure-sole] 2026-03-03 10:53:20 | INFO | __main__:27 - Starting training with run_id: sure-sole
[sure-sole] 2026-03-03 10:53:20 | DEBUG | trainer:10 - In the training function
[in-turkey] 2026-03-03 10:53:37 | INFO | __main__:27 - Starting training with run_id: in-turkey
[in-turkey] 2026-03-03 10:53:37 | DEBUG | trainer:10 - In the training function
